#Term	pleasantness	attention	sensitivity	aptitude	polarity
make anger	-0.133	-0.121	0.15	-0.32	-0.161
make angry	0	0	0.937	0	-0.312
make appointment	-0.082	0	0	-0.083	-0.055
make appointment doctor	0	0	-0.922	0	-0.307
make arrangement	-0.065	0.176	-0.07	0.125	0.055
make assumption	0.085	0.101	0	0.235	0.14
make ball	-0.033	-0.08	0.07	-0.071	-0.031
make beautiful music	0.821	0.98	0	0.869	0.89
make believe	-0.055	-0.066	0.029	-0.08	-0.033
make better	0.973	0.709	0	0.827	0.836
make better world	0.643	0.69	0	0.874	0.736
make big	0.952	0.842	0	0.878	0.891
make bow	0.05	0.114	-0.079	0.131	0.072
make building	0	0.081	0.018	0.133	0.065
make car	0	0.096	0	0.123	0.073
make change	-0.1	0.272	-0.147	0.15	0.058
make cheese	-0.035	-0.046	0.102	-0.113	-0.068
make child laugh	0.05	-0.108	0	0	0.053
make choice	-0.081	0.283	-0.094	0.17	0.093
make cloth	0	-0.04	0.126	-0.054	-0.047
make clothes	0.025	-0.057	0.129	-0.066	-0.038
make coat	0.026	-0.061	0.094	-0.065	-0.024
make coffee	0	0.874	0	0	0.291
make comfortable	0.97	0.753	0	0.832	0.852
make commitment	-0.115	0.113	-0.355	0.197	-0.053
make comparison	-0.092	0.172	-0.059	0.054	0.025
make contact	0.037	0.122	-0.099	0.215	0.092
make copy	0	0.161	0	0.188	0.116
make cry	-0.261	-0.053	-0.169	-0.165	-0.181
make deal	-0.025	0.188	-0.125	0.192	0.077
make decision	-0.122	0.227	0	0.052	0.052
make difference	0.201	0.159	0	0.207	0.189
make doctor appointment	-0.089	0	-0.125	-0.132	-0.115
make drape	-0.076	0	0.047	0	-0.041
make drawing	-0.045	-0.042	0.098	-0.113	-0.071
make dress	0	-0.067	0.106	-0.042	-0.027
make drunk	0	0	0	-0.827	-0.276
make easy	0	0	0.074	-0.059	-0.044
make eat	-0.027	0.224	-0.07	0.116	0.081
make effort	-0.073	0.18	-0.086	0.188	0.07
make enemy	-0.09	0	-0.092	-0.205	-0.129
make error	-0.276	0.072	0	-0.123	-0.109
make fabric	-0.027	0	0.068	0	-0.032
make face	-0.08	-0.04	-0.104	-0.103	-0.082
make factory	0.039	0.188	-0.097	0.226	0.119
make feel bad	-0.146	-0.052	0	-0.158	-0.084
make feel better	0.99	0.823	0	0.735	0.849
make feel good	0.995	0.801	0	0.968	0.921
make feel happy	0.211	-0.128	0	-0.042	0.099
make fist	-0.105	-0.046	0.095	-0.331	-0.162
make floor	-0.062	-0.009	0.059	0	-0.037
make flour	0.036	-0.06	0.037	0.05	0.036
make friend	0.048	-0.08	0.036	0	0.031
make friend happy	0.997	0.868	0	0.987	0.951
make fruit	0.101	0.174	0	0.271	0.182
make fun	-0.166	-0.019	-0.176	-0.17	-0.164
make gift	0.17	-0.087	0	-0.059	0.066
make glass	-0.065	0	0.022	0	-0.029
make go	0.021	0.098	-0.096	0.247	0.09
make goal	0.995	0.722	0	0.773	0.83
make gold	0	0.08	0	0.246	0.109
make good decision	0.256	0.174	0	0.296	0.242
make good impression	0.082	0	-0.068	0.129	0.048
make goods	0	0.125	0	0.18	0.102
make grain	0.045	-0.073	0.058	0.054	0.038
make happen	-0.066	0.223	-0.091	0.187	0.084
make happy	0.997	0.99	0	0.735	0.907
make healthy	0.124	0.072	-0.079	0.152	0.09
make hole	-0.078	-0.078	-0.057	-0.141	-0.066
make home	-0.104	0.235	-0.127	0.246	0.083
make hot	0.043	0.13	-0.08	0.105	0.066
make hotel reservation	0	0.926	0	0.824	0.583
make house look better	-0.069	0	0	-0.073	-0.047
make joke	0.184	-0.107	-0.068	0.104	0.109
make judgement	-0.03	0.158	-0.054	0.075	0.05
make laugh	0.123	-0.113	0.011	-0.092	0.044
make law	0.853	0.936	0	0.949	0.913
make life better	0.042	0	-0.121	0	-0.026
make life easy	0.034	0.067	0	0.098	0.066
make list	-0.074	0	0.024	0	-0.033
make live	0	0.1	0	0	0.033
make live better	-0.085	0	-0.084	-0.159	-0.109
make look good	-0.066	0	-0.14	0.072	-0.045
make lot money	-0.098	0	-0.102	0	-0.067
make lot noise	-0.077	-0.065	0.037	-0.099	-0.049
make loud noise	-0.065	-0.06	0.055	-0.049	-0.036
make love	0.97	0.729	0	0.946	0.882
make love spouse	0.085	-0.198	0	0	0.094
make mad	-0.096	-0.022	-0.052	-0.181	-0.102
make mark	-0.067	0	0.029	0	-0.032
make mark paper	-0.085	0	0	0	-0.028
make mess	-0.784	0	0.805	-0.944	-0.844
make metal	0.028	0	0.037	0.079	0.023
make mistake	-0.816	0	0.809	-0.866	-0.83
make model	-0.115	0	0.022	-0.091	-0.076
make money	0.024	0.097	0	0	0.04
make move	-0.056	0.08	-0.083	0.166	0.036
make movie	0.137	0.105	-0.089	0.214	0.122
make music	0	-0.071	0.099	-0.124	-0.051
make musical sound	-0.027	-0.053	0.083	-0.1	-0.052
make new	0	0	-0.085	0	-0.028
make noise	-0.031	-0.066	0.079	-0.111	-0.052
make note	-0.073	0	0.026	-0.058	-0.052
make offer	-0.152	0.169	-0.092	0	-0.025
make oneself feel better	0.334	0	-0.05	0	0.095
make oneself happy	0.793	0.811	0	0.908	0.837
make others happy	0.748	0.786	0	0.715	0.75
make others laugh	0.103	-0.019	-0.114	-0.124	-0.039
make out	0.054	-0.099	0	-0.223	-0.023
make out atom	-0.09	-0.085	0.048	-0.253	-0.102
make out fabric	0	0	0	0.078	0.026
make out metal	0	0	0	0.089	0.03
make out paper	-0.203	0	0	0	-0.068
make outline	-0.052	0.068	0.028	-0.084	-0.032
make paper airplane	-0.051	-0.003	0	-0.03	-0.026
make parent happy	-0.034	0	-0.046	-0.046	-0.042
make patchwork quilt	0.936	0.749	0	0.871	0.852
make payment	-0.031	0.119	0	0	0.029
make peace	-0.055	-0.007	0.083	-0.134	-0.088
make pie	0.728	0.713	0	0.715	0.719
make plan	-0.155	0.173	-0.127	0	-0.036
make point	0.686	0.526	0	0.812	0.675
make pollution	0.096	-0.038	0.066	0	0.023
make popcorn	-0.078	-0.007	0.019	-0.09	-0.06
make pot coffee	-0.102	-0.056	0.032	-0.09	-0.056
make presentation	-0.048	-0.104	-0.045	-0.13	-0.04
make pretty	0.024	0	0.017	0.151	0.053
make product	0	0.15	0	0.181	0.11
make profit	-0.066	0.166	0	0.095	0.065
make progress	0.783	0.744	0	0.791	0.773
make promise	0	0.868	0	0.935	0.601
make purchase	-0.067	0	0.011	0	-0.026
make quilt	0.054	-0.052	0.101	-0.097	-0.031
make reservation	-0.042	0	0.016	-0.052	-0.037
make rich rich	0	0.078	0	0.099	0.059
make right	0	0.263	-0.216	0.319	0.122
make right decision	-0.064	0.178	0	0.06	0.058
make rule	-0.044	0.113	0	0.174	0.081
make run	0.128	-0.003	0.011	-0.032	0.029
make sad	-0.308	-0.029	-0.09	-0.301	-0.223
make sale	0.079	0.132	-0.108	0.216	0.106
make selection	0	0.125	0	0.105	0.077
make sense	-0.122	0.239	-0.074	0.203	0.082
make sex	0.705	0.967	0	0	0.557
make shop list	-0.072	-0.014	0.047	0	-0.035
make sick	-0.801	-0.836	0.967	0	-0.311
make sign	-0.04	0	0	-0.042	-0.027
make sketch	-0.029	0.111	0	0.05	0.044
make small	-0.051	0.128	0	0.201	0.093
make smile	0.143	-0.12	-0.087	-0.082	0.031
make someone happy	0.802	0.744	0	0.827	0.791
make someone laugh	0.853	0.901	0	0.98	0.911
make someone sick	-0.721	0	0.623	-0.688	-0.677
make someone upset	-0.273	-0.094	-0.132	-0.155	-0.155
make sound	0	-0.073	0.102	-0.11	-0.046
make speech	-0.039	0.087	-0.08	0.11	0.026
make sport	0	0	0	0.077	0.026
make statement	-0.082	0.097	-0.151	0	-0.045
make steel	0.066	0	0.027	0.054	0.031
make strong	0.037	0	0.085	-0.04	-0.029
make stuff	-0.039	0.168	0	0.228	0.119
make suit	-0.03	-0.097	0.104	-0.146	-0.061
make sure	0.072	0.094	0	0.149	0.105
make sweater	0.101	-0.117	0.157	-0.143	-0.027
make terrorist attack	-0.042	0.137	-0.084	0.111	0.041
make throw up	0	0.099	-0.045	0.111	0.055
make time	-0.047	0.132	0	0.057	0.047
make tire	-0.116	-0.096	0.038	-0.15	-0.069
make unusual face	-0.085	0	0.015	0	-0.033
make up	0	0.202	-0.107	0.241	0.112
make up element	-0.097	-0.111	0.075	-0.293	-0.118
make up mind	-0.037	0.149	0	0.071	0.061
make up person	-0.039	0.141	-0.082	0.108	0.043
make up story	0	0.153	-0.08	0.131	0.068
make up water	0	0	0	0.186	0.062
make war	-0.073	-0.049	-0.063	-0.201	-0.096
make well	0	0.225	-0.093	0.142	0.091
make wine	-0.077	-0.026	0	-0.131	-0.061
make wish	0	0.091	-0.053	0.073	0.037
make wood	0	-0.036	0	0.094	0.043
make wool	0	-0.01	0.051	-0.038	-0.026
make world better place	0.79	0.745	0	0.927	0.821
malady	-0.858	0	-0.998	-0.746	-0.867
malaria	-0.882	0	-0.843	-0.956	-0.894
male	0.045	0.097	-0.112	0.051	0.027
male female	0.047	0.077	-0.078	0.074	0.04
male name	0	0.141	0	0.084	0.075
male parent	0.036	0.109	-0.143	0.067	0.023
male person	0.065	0.103	-0.083	0	0.028
male relative	0.045	0.118	-0.136	0.072	0.033
malefic	-0.041	0.166	0.684	-0.657	-0.405
maleficence	-0.041	0.166	0.684	-0.657	-0.405
malevolence	-0.058	0.181	0.656	-0.645	-0.393
malevolent	-0.046	0.17	0.676	-0.654	-0.402
malevolently	-0.058	0.181	0.656	-0.645	-0.393
malfunction	-0.123	0.079	-0.124	0	-0.056
malice	-0.933	0	0.7	-0.762	-0.798
maliciously	-0.041	0.164	0.685	-0.658	-0.407
maliciousness	-0.041	0.164	0.685	-0.658	-0.407
malign	-0.041	0.166	0.684	-0.657	-0.405
malignity	-0.058	0.181	0.656	-0.645	-0.393
malleable	0.118	-0.06	0.075	0.086	0.063
mallet	0.056	0.107	0	0.09	0.084
mammary gland	0.059	0	0.042	0.055	0.024
man-made	0.033	-0.019	0.037	0.131	0.049
man child	0.046	0.089	-0.104	0.053	0.028
man clothes	0	-0.076	0.12	-0.065	-0.036
man make	0	0.1	0.018	0.217	0.1
man pocket	0	0.102	0.01	0	0.031
man post	-0.116	0.098	-0.078	0	-0.032
man spacecraft	-0.09	0.101	-0.102	-0.068	-0.053
man wife	0.132	0.115	-0.063	0.121	0.102
man woman	0.159	0.068	-0.079	0.118	0.089
manage money	-0.082	0.2	0.045	0.078	0.05
management	0	0.076	-0.082	0.093	0.029
mandatory	0	0.298	-0.219	0.312	0.13
mango	0.119	0	0.047	0	0.024
manipulate	-0.156	0	-0.114	-0.091	-0.12
manner	0.101	0.237	-0.231	0.236	0.114
manoeuvre	0.043	0.127	-0.068	0.268	0.123
manor	0.049	0.16	0	0.155	0.121
mantle	0.053	-0.093	0	0	0.049
mantra	0.022	0.123	0.038	0.129	0.079
manufacture	0	0.21	-0.064	0.245	0.13
manufacture plant	0	0.09	0	0.135	0.075
manufacturer	0.059	0.152	0	0.15	0.12
manure	-0.028	-0.014	0	-0.088	-0.034
many children	0.068	0	0	0	0.023
many different	0.123	0.148	-0.111	0.294	0.151
many different kinds	-0.04	-0.021	0.027	-0.031	-0.026
many different types	0.093	0	0.011	0.106	0.063
many different ways	-0.07	0	0	-0.121	-0.064
many feathers	0.02	0.078	0	0	0.033
many forms	0.107	-0.017	0.073	0.052	0.034
many fruits	0.02	-0.056	0	0	0.025
many games	0	0	0	0.096	0.032
many humans	-0.06	0	-0.046	0	-0.035
many insects	0	-0.034	0.077	-0.066	-0.036
many items	0.041	0.093	0.085	0.133	0.061
many people	0.068	0.126	-0.062	0.117	0.083
many plants	0.081	-0.032	0	0	0.038
many products	0	0.079	-0.135	-0.123	-0.06
many purposes	-0.03	-0.041	0.012	-0.152	-0.051
many rooms	0.063	0	0	0.05	0.038
many shades	-0.059	0	0.012	0	-0.024
many shops	0	0.113	0.041	0.058	0.043
many types	0.092	0	0.085	0.079	0.029
many uses	0	0	-0.068	0	-0.023
many yards	0	0.066	0.048	0.08	0.033
marathon	0	0	0	0.108	0.036
march rear	0.035	0.197	-0.071	0.194	0.118
margin	0.022	0.243	0	0.176	0.147
marine	0	0	-0.06	-0.085	-0.048
marine mammal	0.024	0.102	-0.068	0.074	0.044
mark	-0.026	0.155	-0.072	0.123	0.06
mark paper	-0.08	0	0	0	-0.027
mark piece of paper	-0.049	-0.022	-0.048	-0.042	-0.039
market	0	0.071	0.009	0.104	0.055
market product	-0.128	0.072	-0.067	0	-0.041
marmite	0	-0.068	0	0	0.023
maroon	-0.028	0	0.035	-0.079	-0.047
marriage	0.812	0.982	0	0.777	0.857
marriage ceremony	0.082	0	-0.107	0.206	0.06
married couple	0.075	0.069	-0.094	0.092	0.047
marry	0.916	0.9	0	0.933	0.916
marry kid	-0.033	0.067	-0.169	-0.036	-0.057
marry man	-0.105	0.109	-0.097	0	-0.031
marry person	0	0.083	-0.285	0.09	-0.037
martian	0	-0.703	-0.889	0	-0.062
martini	0.176	0	0.011	0	0.055
marvel	0.836	0.728	0	0.911	0.825
marvelous	0.046	-0.66	0	0.365	0.357
marvelously	0.046	-0.66	0	0.365	0.357
masculine	0.074	0.151	-0.097	0.119	0.082
mask	0.108	-0.044	0.043	0.065	0.058
mass	0.029	0.178	0	0.204	0.137
mass hysteria	-0.35	0	-0.23	-0.112	-0.231
mass measure	0	0.152	0.074	0.207	0.095
mass person	0.086	0.077	0.026	0.117	0.085
mass production	-0.049	0	0.031	0	-0.027
massage	0.074	0.08	-0.15	0.19	0.065
massive	0.039	0	0.012	0.298	0.108
mast	0	-0.035	0.071	-0.098	-0.045
master	0.036	0.111	-0.05	0.054	0.05
master control	0.034	0	0	-0.117	-0.028
master new skill	0.967	0.867	0	0.947	0.927
master skill	0.985	0.775	0	0.948	0.903
mastercard	0	0.258	-0.083	0.119	0.098
mastication	0	0	0	0.086	0.029
match	0.087	0.113	-0.087	0	0.038
matchbox	0.087	0.113	-0.087	0	0.038
mate	0.1	0.216	-0.185	0.22	0.117
material type	0.049	0	0.055	0.081	0.025
maternity	0	0	-0.115	0	-0.038
maternity ward	0.034	0	-0.131	-0.076	-0.058
math action	-0.024	0.08	0.042	0.102	0.039
math answer	0	0.276	-0.122	0.296	0.15
math class	-0.024	-0.037	0.021	-0.07	-0.026
math function	-0.031	0.127	-0.055	0.141	0.061
math homework	0	-0.297	-0.182	0.147	0.087
math operation	-0.032	0.085	0.016	0.114	0.05
math problem	0.027	-0.033	0.027	0.105	0.046
math process	-0.047	0.121	0.009	0.143	0.069
math relate	-0.085	-0.048	0	0.15	0.038
math term	0	0.172	0.072	0.13	0.077
mathematical	-0.039	0.117	0	0.102	0.06
mathematical operation	0	0.114	0.087	0.059	0.029
mathematical skill	-0.083	0.146	0.056	0.07	0.026
mathematical term	-0.072	0.092	0.032	0.094	0.027
mathematics	-0.036	0	0.039	0	-0.025
matriculate	-0.041	-0.015	0.025	-0.093	-0.048
matrimony	0.087	0.248	-0.194	0.31	0.15
matter	0	0.089	-0.091	0.109	0.036
matter a lot	0.088	0	0.041	-0.225	-0.059
maturity	0	0	-0.094	0	-0.031
max	0	0	0.042	-0.061	-0.034
maximum	0.052	0	0	0.322	0.125
mayor	0.079	0.152	-0.061	0	0.057
meal time	0.146	0.114	-0.058	0.129	0.11
mean	-0.116	0.204	-0.104	0.123	0.036
mean life	0.219	0.158	-0.092	0.164	0.15
mean person	0	0	0.974	-0.915	-0.63
meander	-0.118	0.071	0	0.12	0.024
meanness	0	0	0.906	-0.974	-0.627
means of transportation	0	-0.01	0	0.067	0.026
measles	-0.812	0	0.9	-0.825	-0.846
measure	0	0.1	0.097	0.155	0.053
measure angle	0	-0.042	0.094	-0.101	-0.051
measure device	0	0.084	0.076	0.144	0.051
measure distance	-0.023	0.076	0.084	0.125	0.031
measure heat	0.062	0.082	0.047	0	0.032
measure length	0	0.102	0.108	0.16	0.051
measure liquid	0.025	0	0.016	0.067	0.025
measure pound	0	0.138	0.077	0.186	0.082
measure time	-0.03	-0.012	0.057	0	-0.025
measure tool	0	0.121	0.054	0.158	0.075
measure unit	0	0.122	0.111	0.162	0.058
measurement	0	0.097	0.093	0.142	0.049
measurement tool	0	0.093	0.061	0.147	0.06
measurement unit	0	0.097	0.088	0.142	0.05
meat cut	0.039	-0.009	0.018	0.075	0.035
meat vegetable	0.07	0.084	0.023	0	0.044
meatloaf	0.028	-0.073	0	0	0.034
mechanic	0	0	-0.078	0	-0.026
mechanical	0	-0.025	0.035	0.083	0.024
mechanical device	0	-0.004	0	0.097	0.034
mechanical pencil	0	-0.061	0.045	-0.106	-0.03
medal	0.87	0.822	0	0.717	0.803
medallion	0.02	0.085	-0.056	0.085	0.045
media	0	0.078	0	0.143	0.074
median	0.109	0.132	0.085	0.148	0.101
mediator	0	0.128	0.021	0	0.036
medic	-0.026	0.082	-0.122	-0.191	-0.086
medical build	-0.024	-0.005	-0.049	0	-0.023
medical care	0.371	0.243	-0.123	0.301	0.264
medical condition	-0.125	-0.137	-0.237	0.094	-0.044
medical doctor	-0.04	0	-0.142	-0.099	-0.094
medical equipment	-0.124	0	-0.06	-0.098	-0.094
medical examination	-0.032	0	-0.085	0	-0.039
medical instrument	0	0	-0.047	-0.119	-0.055
medical office	-0.032	0	-0.15	-0.141	-0.108
medical person	-0.057	0.178	-0.209	0	-0.029
medical problem	-0.213	0.118	-0.224	-0.059	-0.126
medical procedure	-0.062	0	-0.153	-0.072	-0.096
medical professional	0.036	0.163	-0.125	0	0.025
medical record	-0.041	0	-0.144	-0.121	-0.102
medical school	-0.043	0	-0.147	-0.155	-0.115
medical test	0.05	-0.036	0.014	0	0.024
medication	-0.149	-0.013	-0.138	-0.156	-0.143
medicine	-0.039	0	-0.142	-0.173	-0.118
medicine cabinet	-0.025	-0.039	-0.054	-0.121	-0.054
medicine chest	-0.036	-0.018	-0.085	-0.161	-0.088
medieval time	-0.035	0	-0.132	-0.086	-0.084
mediocrity	-0.025	0.227	-0.144	0.077	0.045
meditate	0	0	0	0.729	0.243
meditation	0.088	0.135	0	0	0.074
meditative	0.043	0.606	-0.284	0.105	0.157
medium	0.039	0.083	0	0.186	0.103
meekness	-0.399	0.425	-0.145	-0.186	-0.102
meet at coffee shop	0	0	0	0.077	0.026
meet famous person	0.878	0	0	0.782	0.553
meet friend lunch	0.751	0.987	0	0	0.579
meet friends	-0.055	-0.003	0.012	-0.063	-0.042
meet girl	0.05	-0.059	0	0.054	0.054
meet girl dream	-0.083	0	0.036	-0.057	-0.059
meet goal	0.792	0.874	0	0	0.555
meet interesting person	0.05	-0.059	0	0.054	0.054
meet know	-0.086	0	0.021	-0.062	-0.056
meet need	0.027	0.259	-0.212	0.255	0.11
meet old friend	-0.111	-0.045	0	-0.104	-0.057
meet other person	0.154	-0.07	0.09	-0.057	0.026
meet others	0.081	-0.178	0.136	-0.215	-0.031
meet place	0.092	0	0	0	0.031
meet woman	0.081	-0.058	0	-0.032	0.036
meeting	0.044	0.08	-0.078	0.095	0.047
megrim	-0.849	0.205	-0.484	-0.035	-0.388
melancholic	-0.747	0.292	-0.428	-0.064	-0.316
melancholy	-0.952	0	0	-0.985	-0.646
melodic noise	0.104	-0.011	0.012	0.141	0.081
melt	0.022	0	-0.133	0	-0.037
member	0.112	0.117	-0.07	0.114	0.091
member family	0.046	0.089	-0.104	0.053	0.028
member jury	0.031	0.107	0	0.065	0.068
membership	0.02	0.24	-0.114	0.267	0.138
meme	0	0.331	-0.099	0.242	0.158
memento	-0.098	0	-0.11	0	-0.069
memo	0	0	0	0.091	0.03
memorial	0.072	0.126	0	0	0.066
memorize	-0.06	0	0.021	0	-0.027
memory	-0.072	0.216	-0.063	0.087	0.056
memory loss	-0.051	0	-0.128	0	-0.06
men club	0.103	0	0	0	0.034
menace	0	0	0.765	-0.727	-0.497
mend	-0.075	0	0	0	-0.025
menstruation	0	-0.041	0.018	0.165	0.063
mental	-0.034	0.21	-0.059	0.093	0.07
mental activity	0	0.181	-0.051	0	0.043
mental disorder	-0.726	0	-0.866	-0.839	-0.81
mental exercise	0.795	0	0	0.811	0.535
mental health	0.178	-0.02	0.072	0.138	0.088
mental illness	-0.33	0.159	-0.325	-0.049	-0.182
mental state	-0.077	0.258	-0.143	0.065	0.034
mentally challenged	-0.97	0	-0.978	-0.847	-0.932
mention	0	0.203	-0.113	0.28	0.123
menu	0.146	0.095	-0.046	0	0.065
merchandise	0	0.076	0	0	0.025
merchant	0	0.17	0	0.101	0.09
merciful	0.803	0	0	0.789	0.531
mercifully	-0.349	0.451	-0.154	-0.156	-0.069
mercifulness	0.879	0	0	0.986	0.622
mercilessness	-0.525	0.367	-0.238	-0.154	-0.183
mercy	0.76	0.72	0	0.744	0.741
mere	0	0.087	0	0.071	0.053
merge	0.047	0	0.07	0.249	0.075
merit	0.732	0.91	0	0.789	0.81
merlin	0	0	0	0.951	0.317
merrily	0.653	0.635	-0.244	0.294	0.446
merriment	0.918	0.476	-0.197	0.417	0.538
merry	0.883	0.921	0	0.798	0.867
merry go round	0.813	0.832	0	0.874	0.84
mess clean up	0.091	0	-0.066	-0.166	-0.047
mess up	0	0	0.87	-0.874	-0.581
message	0	0	0	0.162	0.054
messy room	0	0	0.837	-0.87	-0.569
metal alloy	0.024	0	0	0.05	0.025
metal bar	0.028	0	0.026	0.102	0.035
metal box	0.069	0.152	0	0.088	0.103
metal container	0.038	0	0	0.082	0.04
metal cylinder	0.078	0	0	0.162	0.08
metal detector	0	-0.036	0	-0.232	-0.065
metal money	0	0.094	0.085	0.091	0.033
metal rod	0.085	-0.068	0	-0.047	0.035
metal stick	0.181	-0.124	0.061	0.075	0.106
metaphor	0.066	0.079	0	0.142	0.096
method	-0.044	0.182	-0.081	0.139	0.065
metric	0	0.203	0.036	0.204	0.124
microbe	0	0	0	-0.088	-0.029
microphone boom	0.103	-0.028	0	-0.034	0.032
middle	0.064	0.156	0	0.199	0.14
middle day	0.179	0.096	0	0.141	0.139
middle east	-0.058	0	-0.08	-0.105	-0.081
middle road	0	0.098	0	0	0.033
midget	0	0	-0.055	-0.056	-0.037
midway	0.084	-0.058	0.013	0	0.043
miffed	-0.141	0.098	0.662	-0.656	-0.454
migraine	-0.737	0	-0.859	-0.72	-0.772
military	-0.026	0.082	-0.065	-0.094	-0.034
military action	-0.199	0	-0.119	-0.051	-0.123
military base	0	0	-0.071	-0.175	-0.082
military division	-0.024	0.093	0	0	0.023
military group	-0.032	0.092	0.051	0.077	0.029
military officer	0.027	0.075	0	0	0.034
military order	0	0.121	0	0.068	0.063
military position	0	0.086	0	0	0.029
military rank	0.024	0.072	0	0	0.032
military service	0	0.138	-0.096	0.063	0.035
military ship	-0.116	0	0	0	-0.039
milk drink	0.106	0	-0.101	0.16	0.055
million	0	0.243	0	0.122	0.122
millstone	0.053	-0.035	0	0	0.029
mimic	-0.067	0.164	-0.145	0.258	0.07
mince	-0.082	-0.043	-0.05	-0.153	-0.081
mind	-0.04	0.253	-0.133	0.136	0.072
mind boggle	-0.132	0	0	-0.25	-0.127
mind child	-0.036	0	0	-0.084	-0.04
mind control	-0.228	0.144	-0.086	0	-0.057
mind state	0.081	0.214	-0.359	0.175	0.037
mind store	-0.114	0.071	-0.053	0	-0.032
mindless entertainment	0.062	-0.174	0.093	-0.307	-0.055
mine diamond	-0.112	0.085	-0.079	0	-0.035
mine gold	-0.101	0.073	-0.065	0	-0.031
mine ore	-0.05	0	-0.074	0	-0.041
miner	0.035	0.117	-0.13	0.053	0.025
minibar	0.151	-0.08	0.026	-0.126	0.026
minister	0.039	0.252	-0.045	0.197	0.148
minnow	0	-0.022	0.044	-0.085	-0.036
minor injury	0	-0.125	0.086	-0.171	-0.044
mint	0.062	0.115	0	0	0.059
minus	-0.046	0.171	0	0.194	0.106
miracle	0.816	-0.837	0	0.7	0.784
mirth	0.807	0.76	0	0.704	0.757
mirthful	0.715	0.617	-0.23	0.329	0.477
mirthfully	0.653	0.635	-0.244	0.294	0.446
mirthfulness	0.695	0.623	-0.231	0.319	0.469
misanthropic	-0.254	0.301	0.351	-0.51	-0.271
misanthropical	-0.254	0.301	0.351	-0.51	-0.271
misanthropy	-0.091	0.201	0.613	-0.628	-0.377
misbehave	0	0	0.933	-0.887	-0.607
misbehavior	-0.503	0.112	-0.388	0.066	-0.238
mischief	-0.397	0.11	-0.376	0.152	-0.17
miserable	-0.806	0	0.987	-0.857	-0.883
miserably	-0.727	0.304	-0.418	-0.073	-0.305
misery	-0.776	0	0.797	-0.735	-0.769
misfortunate	-0.727	0.304	-0.418	-0.073	-0.305
misgiving	-0.439	0.42	-0.171	-0.188	-0.126
mislead	-0.742	0	0.741	-0.925	-0.803
misogamy	-0.082	0.202	0.615	-0.627	-0.374
misogynic	-0.075	0.195	0.629	-0.633	-0.381
misogynism	-0.075	0.195	0.629	-0.633	-0.381
misogyny	-0.075	0.195	0.629	-0.633	-0.381
misology	-0.082	0.202	0.615	-0.627	-0.374
misoneism	-0.08	0.2	0.619	-0.629	-0.376
misopedia	-0.082	0.202	0.615	-0.627	-0.374
misplace	-0.171	0.131	-0.207	0.097	-0.05
miss	-0.955	0	0.733	-0.989	-0.892
miss appointment	-0.91	0	0.71	-0.845	-0.822
miss ball	-0.07	-0.06	0.068	-0.086	-0.055
miss bus	-0.183	0	-0.059	-0.082	-0.108
miss out	-0.715	0	0.99	-0.933	-0.879
miss work	0	-0.013	-0.066	-0.061	-0.038
missile	-0.027	-0.043	0	-0.162	-0.049
mission	0	0	0	0.75	0.25
misspell	-0.121	0.135	0	0.06	0.025
mistake	-0.746	0	0.876	-0.863	-0.828
mister	0.072	0.098	0	0	0.057
mistreat	-0.856	0	0.749	-0.998	-0.868
mistrust	0	0	0	-0.904	-0.301
misunderstand	-0.874	0	0.867	-0.771	-0.837
misunderstanding	-0.983	0	0.983	-0.701	-0.889
mite	-0.033	-0.075	0.093	-0.127	-0.059
mix	0.077	0	-0.077	0.133	0.044
mixture	0.027	0.15	0	0.22	0.132
moan	-0.11	-0.024	-0.112	-0.117	-0.105
moat	0.048	0	0.009	0.06	0.033
mob	0.069	0.11	0	0.07	0.083
mobile	0.11	0.073	0	0.205	0.129
mobile phone	0.054	0	0.035	0.066	0.028
